Unnamed: 0,Instrument,CF_DATE,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,CF_CLOSE_x,IMP_VOLT,CF_CLOSE_y,DELTA,VEGA,THETA,GAMMA,DELTA_HEDGE,VEGA_HEDGE,THETA_HEDGE,GAMMA_HEDGE,Price_Change,Price_Change_Abs
371,/GDAX175000F0.EX,2019-05-14,2020-06-19,CALL,17500.0,0.1,47.07,11991.62,,0.0,0.0,,,,,,,
374,/GDAX180000R0.EX,2019-07-18,2020-06-19,PUT ,18000.0,7689.0,65.37,12227.85,-1.0,0.0,101.5907086100965,0.0,-236.2299999999996,0.0,23998.773094963053,0.0,236.22999999999956,236.22999999999956
332,/GDAX142500R0.EX,2019-11-20,2020-06-19,PUT ,14250.0,3936.3,37.81,13158.14,-1.0,0.0,80.58228979855198,8.998714810735818e-10,-930.289999999999,0.0,74964.89837669485,8.371414401279417e-07,930.289999999999,930.289999999999
358,/GDAX149000R0.EX,2020-01-15,2020-06-19,PUT ,14900.0,4586.7,42.77,13432.3,-1.0,0.0,84.33129828388837,0.0,-274.15999999999985,0.0,23120.268737510825,0.0,274.15999999999985,274.15999999999985
348,/GDAX146500R0.EX,2020-01-20,2020-06-19,PUT ,14650.0,4336.5,40.93,13548.94,-1.0,0.0,82.92278370141116,0.0,-116.64000000000124,0.0,9672.1134909327,0.0,116.64000000000124,116.64000000000124
367,/GDAX165000F0.EX,2020-02-12,2020-06-19,CALL,16500.0,0.1,42.11,13749.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.84000000000015,200.84000000000015
308,/GDAX136500R0.EX,2020-02-13,2020-06-19,PUT ,13650.0,3336.0,33.34,13745.43,-1.0,0.0,77.2913342686868,0.0,4.350000000000364,-0.0,-336.2173040688157,-0.0,-4.350000000000364,4.350000000000364
338,/GDAX144000R0.EX,2020-02-14,2020-06-19,PUT ,14400.0,4086.4,39.05,13744.21,-1.0,0.0,81.53937744492919,0.0,1.2200000000011642,-0.0,-99.47804048290853,-0.0,-1.2200000000011642,1.2200000000011642
342,/GDAX145000R0.EX,2020-02-21,2020-06-19,PUT ,14500.0,4186.4,39.72,13579.33,-1.0,0.0,82.11455122570237,0.0,164.8799999999992,-0.0,-13539.04720609374,-0.0,-164.8799999999992,164.8799999999992
13,/GDAX44000F0.EX,2020-02-26,2020-06-19,CALL,4400.0,5922.7,107.54,12774.88,0.999999998720522,-0.0004392480150272,-32.605716032953865,3.703968928754655e-15,-804.4499989707247,0.3533530656886799,26229.66826270976,-2.9796578047366848e-12,-804.4500000000007,804.4500000000007
